movie_title,rating,genre,directors,tomatometer_rating,audience_rating
The Italian Job,G,"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",Peter Collinson,83,86
Help!,G,"Comedy, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Richard Lester,88,86
Bobby Fischer Against The World,PG,"Documentary, Drama, Special Interest",Liz Garbus,88,86
Coal Miner's Daughter,PG,"Drama, Musical & Performing Arts",Michael Apted,89,86
3 Women,PG,"Classics, Drama",Robert Altman,94,86
Born Free,PG,"Action & Adventure, Drama, Kids & Family",James Hill,94,86
The Bad and the Beautiful,G,"Classics, Drama, Romance",Vincente Minnelli,96,86
King Kong,G,"Action & Adventure, Classics, Horror","Ernest B. Schoedsack, Merian C. Cooper",98,86
The Prowler (Cost of Living ),PG,"Drama, Mystery & Suspense",Joseph Losey,100,86
Scarface,PG,"Classics, Drama",Howard Hawks,100,86
Charly (A Heartbeat Away),PG,"Comedy, Drama, Romance",Adam Thomas Anderegg,20,87
An Affair to Remember,G,"Classics, Comedy, Drama, Romance",Leo McCarey,62,87
The Mission,PG,"Art House & International, Drama",Roland Joffé,64,87
Big Wednesday,PG,"Comedy, Drama",John Milius,64,87
Evil (Ondskan),G,"Art House & International, Drama",Mikael Håfström,68,87
A Man for All Seasons,G,"Classics, Drama",Fred Zinnemann,82,87
The Defiant Ones,PG,"Classics, Drama",Stanley Kramer,82,87
The Art Of The Steal,PG,"Documentary, Musical & Performing Arts",Don Argott,85,87
Planet of the Apes,G,"Classics, Science Fiction & Fantasy",Franklin J. Schaffner,88,87
Black Orpheus (Orfeu Negro),PG,"Art House & International, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Marcel Camus,89,87
The Cave of the Yellow Dog (Die Hohle des gelben Hundes),G,"Art House & International, Drama, Special Interest",Byambasuren Davaa,90,87
The Boys: The Sherman Brothers' Story,PG,"Documentary, Musical & Performing Arts, Television","Jeffrey C. Sherman, Gregory V. Sherman, Jeff Sherman",90,87
Carol Channing: Larger Than Life,PG,"Documentary, Musical & Performing Arts, Television",Dori Berinstein,90,87
Brute Force,G,"Classics, Drama",Jules Dassin,91,87
Monty Python's And Now for Something Completely Different,PG,"Comedy, Television","Ian MacNaughton, Terry Gilliam",91,87
The Caine Mutiny,PG,"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",Edward Dmytryk,92,87
A Shot in the Dark,PG,"Classics, Comedy, Drama",Blake Edwards,93,87
The Ten Commandments,G,"Classics, Drama, Faith & Spirituality",Cecil B. DeMille,94,87
A Raisin in the Sun,PG,"Classics, Drama",Daniel Petrie Sr.,94,87
The Day the Earth Stood Still,G,"Classics, Drama, Science Fiction & Fantasy",Robert Wise,95,87
Strictly Ballroom,PG,"Comedy, Drama, Romance",Baz Luhrmann,95,87
Apollo 13,PG,"Action & Adventure, Drama",Ron Howard,95,87
Being Elmo: A Puppeteer's Journey,PG,"Documentary, Television","Constance Marks, Philip Shane",95,87
Cabaret,PG,"Classics, Drama, Musical & Performing Arts",Bob Fosse,95,87
Deep Water,PG,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell",96,87
The Asphalt Jungle,G,"Classics, Drama",John Huston,97,87
The Dresser,PG,"Art House & International, Drama",Peter Yates,100,87
El Dorado,PG,"Action & Adventure, Classics, Western",Howard Hawks,100,87
Calamity Jane,G,"Classics, Comedy, Musical & Performing Arts, Western, Romance",David Butler,75,88
Chipmunk Adventure,G,"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Janice Karman,75,88
White Christmas,G,"Classics, Kids & Family, Musical & Performing Arts, Special Interest",Michael Curtiz,76,88
The Party,PG,"Classics, Comedy",Blake Edwards,82,88
Cry Freedom,PG,"Art House & International, Drama",Richard Attenborough,83,88
Batman: Mask of the Phantasm,PG,"Action & Adventure, Animation, Kids & Family, Mystery & Suspense","Eric Radomski, Bruce Timm",84,88
Bagdad Cafe,PG,"Art House & International, Comedy, Drama",Percy Adlon,85,88
Calle 54,G,"Art House & International, Documentary, Drama, Musical & Performing Arts",Fernando Trueba,87,88
A Christmas Story,PG,"Comedy, Drama, Kids & Family",Bob Clark,89,88
Devdas,PG,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,89,88
The Day of the Jackal,PG,"Classics, Drama, Mystery & Suspense",Fred Zinnemann,91,88
Breaking Away,PG,"Comedy, Drama",Peter Yates,94,88
A Little Princess,G,"Drama, Kids & Family",Alfonso Cuarón,97,88
Ernest & Célestine,PG,"Animation, Art House & International, Science Fiction & Fantasy","Vincent Patar, Benjamin Renner, Stéphane Aubier",97,88
The Lady Vanishes,PG,"Classics, Mystery & Suspense",Alfred Hitchcock,98,88
Gettysburg,PG,"Classics, Drama",Ronald F. Maxwell,80,89
Cooley High,PG,"Classics, Comedy, Drama",Michael Schultz,83,89
Ben-Hur,G,"Action & Adventure, Classics, Drama, Romance",William Wyler,86,89
Pride and Prejudice,PG,"Comedy, Drama, Romance",Joe Wright,86,89
F for Fake,PG,"Documentary, Musical & Performing Arts, Special Interest, Television",Orson Welles,88,89
Baran,PG,"Art House & International, Drama",Majid Majidi,89,89
Buck,PG,"Documentary, Special Interest",Cindy Meehl,89,89
Shall We Dance? (Shall We Dansu?),PG,"Art House & International, Comedy, Drama, Romance",Masayuki Suo,91,89
Sabrina,G,"Classics, Comedy, Drama, Romance",Billy Wilder,92,89
Days of Heaven,PG,Drama,Terrence Malick,92,89
2001: A Space Odyssey,G,"Classics, Science Fiction & Fantasy",Stanley Kubrick,93,89
Captains Courageous,PG,"Action & Adventure, Classics",Victor Fleming,94,89
High Noon,PG,"Mystery & Suspense, Western",Fred Zinnemann,96,89
Airplane!,PG,Comedy,"David Zucker, Jerry Zucker, Jim Abrahams",97,89
A Hard Day's Night,G,"Classics, Comedy, Musical & Performing Arts",Richard Lester,98,89
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),PG,"Art House & International, Comedy, Drama, Science Fiction & Fantasy, Special Interest",Luis Buñuel,98,89
"Faces Places (Visages, villages)",PG,"Art House & International, Documentary","JR, Agnès Varda",99,89
The Adventures of Robin Hood,PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",100,89
The Odd Couple,PG,"Classics, Comedy, Drama",Gene Saks,100,89
Black,G,Drama,Sanjay Leela Bhansali,67,90
A Man Named Pearl,G,"Documentary, Special Interest","Brent Pierson, Scott Galloway",74,90
Empire of the Sun,PG,Drama,Steven Spielberg,75,90
East of Eden,PG,"Classics, Drama",Elia Kazan,86,90
The King of Comedy,PG,"Comedy, Drama, Mystery & Suspense",Martin Scorsese,88,90
The Road Home (Wo de fu qin mu qin),G,"Art House & International, Drama, Romance",Zhang Yimou,89,90
Buena Vista Social Club,G,"Documentary, Musical & Performing Arts",Wim Wenders,91,90
The Lion in Winter,PG,"Classics, Drama",Anthony Harvey,92,90
My Man Godfrey,G,"Classics, Comedy, Drama, Romance",Gregory La Cava,97,90
Bob le Flambeur,PG,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Jean-Pierre Melville,97,90
A Streetcar Named Desire,PG,"Classics, Drama",Elia Kazan,98,90
Badlands,PG,"Action & Adventure, Classics, Cult Movies, Drama, Mystery & Suspense",Terrence Malick,98,90
The Conversation,PG,"Drama, Mystery & Suspense",Francis Ford Coppola,98,90
Anatomy of a Murder,G,"Classics, Drama, Mystery & Suspense",Otto Preminger,100,90
The Big Country,G,"Classics, Drama, Western",William Wyler,100,90
The Big Heat,PG,"Classics, Drama, Mystery & Suspense",Fritz Lang,100,90
Shadow of a Doubt,PG,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,100,90
Citizen Kane,PG,"Classics, Drama, Mystery & Suspense",Orson Welles,100,90
Sparkle,PG,"Drama, Musical & Performing Arts",Sam O'Steen,10,91
Dust to Glory,PG,"Action & Adventure, Documentary, Sports & Fitness",Dana Brown,60,91
Monanieba (Repentance),PG,"Art House & International, Drama",Tenghiz Abuladze,67,91
Big Hero 6,PG,"Animation, Kids & Family","Chris Williams (IX), Don Hall",89,91
Inherit the Wind,PG,"Classics, Drama, Faith & Spirituality",Stanley Kramer,92,91
Babette's Feast (Babettes Gæstebud),G,"Art House & International, Drama, Romance",Gabriel Axel,97,91
The Big Sleep,PG,"Classics, Drama, Mystery & Suspense",Howard Hawks,97,91
Apollo 11,G,Documentary,Todd Douglas Miller,99,91
The Endless Summer,G,"Documentary, Sports & Fitness",Bruce Brown,100,91
The Maltese Falcon,PG,"Drama, Mystery & Suspense",John Huston,100,91
'Breaker' Morant,PG,"Art House & International, Drama",Bruce Beresford,100,91
Day for Night,PG,"Art House & International, Comedy, Drama, Romance",François Truffaut,100,91
A Dog's Journey,PG,"Drama, Kids & Family",Gail Mancuso,50,92
Dragon Ball Super: Broly,PG,Animation,Tatsuya Nagamine,83,92
Dead Poets Society,PG,Drama,Peter Weir,84,92
Dial M for Murder,PG,"Classics, Mystery & Suspense",Alfred Hitchcock,89,92
Butch Cassidy and the Sundance Kid,PG,"Action & Adventure, Classics, Western",George Roy Hill,90,92
Barry Lyndon,PG,"Classics, Drama",Stanley Kubrick,91,92
All the President's Men,PG,"Classics, Drama, Mystery & Suspense",Alan J. Pakula,93,92
Beauty and the Beast,G,"Animation, Drama, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Gary Trousdale,94,92
Being There,PG,"Comedy, Drama",Hal Ashby,94,92
Charade,G,"Classics, Comedy, Drama, Mystery & Suspense",Stanley Donen,95,92
Mary and Max,G,"Animation, Comedy, Drama",Adam Elliot,95,92
Aladdin,G,"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts","John Musker, Ron Clements",95,92
Cat on a Hot Tin Roof,PG,"Classics, Drama",Richard Brooks,97,92
Annie Hall,PG,"Comedy, Romance",Woody Allen,97,92
The Elephant Man,PG,Drama,David Lynch,91,93
The Bridge on the River Kwai,PG,"Action & Adventure, Classics, Drama",David Lean,95,93
Aladdin,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Guy Ritchie,57,94
Dersu Uzala,G,"Action & Adventure, Art House & International, Drama",Akira Kurosawa,73,94
The Circus,G,"Action & Adventure, Classics, Comedy, Drama, Kids & Family, Special Interest",Charles Chaplin,96,94
Back to the Future,PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",Robert Zemeckis,96,94
Coco,PG,"Action & Adventure, Animation, Comedy, Kids & Family","Lee Unkrich, Adrian Molina",97,94
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,PG,"Classics, Comedy, Science Fiction & Fantasy",Stanley Kubrick,98,94
All About Eve,PG,"Classics, Drama",Joseph L. Mankiewicz,100,94
Chuck Berry: Hail! Hail! Rock 'n' Roll,PG,"Documentary, Musical & Performing Arts",Taylor Hackford,87,95
The Sting,PG,"Classics, Comedy, Drama",George Roy Hill,93,95
Casablanca,PG,"Classics, Drama, Romance",Michael Curtiz,98,95
Rear Window,PG,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,100,95
Cool Hand Luke,PG,"Classics, Drama",Stuart Rosenberg,100,95
Cirque Du Soleil: Worlds Away,PG,"Art House & International, Documentary, Kids & Family, Science Fiction & Fantasy",Andrew Adamson,45,96
Children of Heaven (Bacheha-Ye aseman),PG,"Action & Adventure, Art House & International, Comedy, Drama",Majid Majidi,83,96
The Color of Paradise,PG,"Art House & International, Drama",Majid Majidi,87,96
Children of Paradise (Les Enfants du Paradis),PG,"Art House & International, Classics, Drama, Romance",Marcel Carné,97,96
City Lights,G,"Classics, Comedy, Drama, Romance",Charles Chaplin,98,96
Star Wars: Episode V - The Empire Strikes Back,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",Irvin Kershner,95,97
